Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
67,4.2,0.9,2.6,0.3,0.0,0.0,6.7,0.0,45.6,0.069,16.8,0.3,0.008,0.074,0.058,0.066,1.3,0.067,0.031,0.5,0.0,0.0,0.0,7.4,0.075,0.2,7.4,0.058,78.4,98.8,0.01,0.6,19.3
753,59.1,12.4,31.1,7.9,0.0,0.0,51.8,0.0,189.1,0.2,274.1,0.4,0.4,0.094,0.1,0.3,15.4,2.9,1.2,0.0,0.0,0.0,0.0,135.1,0.037,4.9,212.3,0.077,648.5,1381.9,0.1,1.2,251.3
60,3.3,0.4,1.3,0.9,4.0,0.0,3.6,0.0,7.4,0.005,17.1,0.0,0.018,0.076,0.086,0.059,1.3,0.1,0.046,0.0,0.0,0.0,0.0,2.3,0.039,0.4,5.7,0.06,49.8,46.7,0.0,0.1,13.6
546,19.6,4.8,7.4,5.3,0.0,0.0,86.5,0.0,205.7,0.1,278.7,0.1,0.5,0.08,0.072,0.1,25.4,2.2,0.6,10.5,0.0,0.0,0.071,86.0,0.2,1.8,112.2,0.002,587.2,1570.8,0.1,1.9,204.5
47,2.6,0.0,0.0,0.0,0.0,0.0,5.5,0.0,20.8,0.042,16.7,0.029,0.055,0.092,0.057,0.016,1.4,0.2,0.041,0.0,0.0,0.0,0.0,7.0,0.028,0.2,8.0,0.095,77.0,120.3,0.02,0.2,15.35
42,2.9,0.6,0.7,1.2,0.6,0.0,3.9,0.0,94.1,0.2,7.6,0.054,0.037,0.038,0.083,0.003,0.051,0.6,0.005,0.0,0.0,0.3,0.065,44.0,0.086,1.9,48.0,0.068,57.0,29.0,0.098,0.2,53.325
355,3.8,0.5,0.4,1.9,0.0,0.0,75.0,0.0,274.1,0.3,301.8,0.068,0.2,0.068,0.062,0.7,12.6,1.4,1.1,0.0,0.012,0.9,0.014,231.6,0.2,1.8,258.6,0.081,853.1,1374.2,0.1,1.8,312.275
206,10.3,2.3,4.5,1.9,0.0,0.0,26.4,0.0,94.4,0.2,106.7,0.066,0.045,0.044,0.066,0.021,0.1,3.6,1.2,0.3,0.0,0.035,1.4,0.01,12.9,0.098,0.4,32.9,0.011,353.2,523.4,0.03,37.141
83,1.2,0.2,0.3,0.4,0.0,0.0,16.8,0.0,61.6,0.016,73.8,0.092,0.066,0.057,0.07,0.059,1.2,0.2,0.1,0.0,0.089,0.3,0.086,44.2,0.085,0.3,19.3,0.012,204.2,229.1,0.049,0.8,62.592
404,14.0,2.6,4.3,2.6,0.0,0.0,65.2,0.0,146.3,0.2,240.2,0.1,0.3,0.044,0.03,0.3,25.4,3.3,1.9,0.0,0.035,1.3,0.025,22.3,0.2,1.2,85.9,0.057,830.0,1163.9,0.035,1.2,102.8
31,0.1,0.073,0.008,0.026,0.0,0.0,6.9,0.0,11.0,0.049,21.0,0.048,0.0,0.084,0.063,0.035,5.2,0.012,0.3,0.0,0.017,0.063,0.09,1.1,0.014,0.2,9.9,0.062,78.7,124.8,0.096,0.1,8.322
230,15.6,3.6,6.1,3.8,0.0,0.0,20.8,0.0,78.4,0.1,71.2,0.019,0.2,0.007,0.047,0.3,10.2,1.0,0.4,0.4,0.03,1.7,0.025,13.4,0.027,1.8,85.1,0.015,243.0,351.7,0.067,0.7,52.063
388,12.0,3.1,2.5,3.6,0.0,0.0,65.5,0.0,195.8,0.6,314.0,0.001,0.3,0.094,0.09,0.3,9.0,2.3,0.9,6.9,0.0,0.0,0.0,73.4,0.2,1.5,208.1,0.06,526.3,971.0,0.1,0.9,159.322
106,0.8,0.0,0.0,0.0,0.0,0.0,23.1,0.0,50.4,0.047,66.2,0.016,0.097,0.015,0.007,0.2,3.1,0.3,0.4,0.0,0.0,0.0,0.0,12.4,0.077,1.0,38.0,0.048,248.9,477.9,0.012,0.5,37.306
82,2.5,0.9,0.9,0.4,0.0,0.0,14.0,0.0,48.2,0.014,61.6,0.039,0.079,0.028,0.066,0.038,3.3,0.6,0.2,0.0,0.005,1.0,0.068,11.9,0.065,0.3,31.6,0.017,165.9,272.6,0.053,0.3,28.709
148,3.7,0.7,1.1,1.3,0.0,0.0,26.6,0.0,65.7,0.019,91.7,0.006,0.053,0.043,0.026,0.1,1.8,1.1,0.3,0.0,0.0,0.0,0.0,111.6,0.3,2.1,47.1,1.0,333.6,603.9,0.0,1.2,144.006
79,3.1,0.9,0.9,0.7,0.0,0.0,11.8,0.0,38.4,0.022,48.6,0.005,0.1,0.063,0.042,0.1,4.5,0.5,0.3,0.0,0.0,0.0,0.0,9.0,0.014,0.2,26.9,0.095,119.0,317.4,0.024,0.3,24.113
236,9.7,2.2,4.3,2.3,0.0,0.0,34.6,0.0,126.3,0.1,109.2,0.099,0.1,0.058,0.019,0.3,4.4,1.3,0.5,1.5,0.0,0.0,0.0,118.6,0.5,1.8,58.5,1.4,355.7,543.6,0.076,1.3,166.292
3,0.048,0.01,0.043,0.01,0.0,0.0,0.6,0.0,4.3,0.024,3.4,0.098,0.015,0.1,0.082,0.024,0.056,0.048,0.047,0.078,0.0,0.0,0.0,1.0,0.058,0.053,1.2,0.034,8.7,10.4,0.093,0.009,1.788
441,14.1,2.6,4.0,3.7,0.0,0.0,73.5,0.0,192.0,0.2,210.7,0.022,0.4,0.067,0.01,0.6,10.5,2.6,0.9,0.0,0.0,0.0,0.0,78.0,0.2,0.9,99.0,0.064,708.0,1536.0,0.2,1.6,166.521
186,6.4,1.4,2.7,1.6,0.0,0.0,30.1,0.0,88.9,0.045,73.3,0.2,0.012,0.066,0.019,0.1,8.5,1.1,0.5,0.0,0.0,0.0,0.0,10.5,0.049,0.7,49.1,0.015,340.5,558.1,0.084,1.2,47.9
238,2.6,0.6,0.5,0.8,0.0,0.0,50.2,0.0,94.9,0.1,148.2,0.1,0.2,0.023,0.083,0.035,0.8,1.8,0.7,0.0,0.0,0.0,0.0,42.4,0.063,2.3,74.7,0.075,288.9,959.5,0.088,1.0,97.6
257,5.7,1.4,1.7,1.2,0.0,0.0,48.1,0.0,119.0,0.2,185.6,0.022,0.082,0.019,0.067,0.073,3.6,1.8,0.7,0.0,0.0,0.0,0.0,50.0,0.05,1.1,76.2,0.083,744.9,961.5,0.056,0.9,104.93
87,4.9,1.1,2.0,1.2,0.0,0.0,9.8,0.0,32.8,0.4,23.9,0.005,0.07,0.02,0.068,0.1,1.8,0.4,0.2,0.4,0.004,0.6,0.086,33.6,0.081,0.6,18.4,0.062,130.0,178.8,0.053,0.5,49.314
238,2.6,0.6,0.5,0.8,0.0,0.0,50.2,0.0,95.8,0.1,205.2,0.1,0.2,0.077,0.045,0.013,0.8,1.9,0.8,0.0,0.0,0.0,0.0,69.9,0.027,2.3,80.3,0.042,419.6,1251.0,0.059,1.2,125.1
48,0.9,0.2,0.3,0.2,0.0,0.0,9.3,0.0,31.5,0.2,37.1,0.011,0.031,0.071,0.095,0.044,0.018,0.6,0.2,0.021,0.0,0.042,0.5,0.069,17.0,0.073,0.1,13.5,0.075,150.0,113.0,0.004,10.368
168,1.2,0.2,0.2,0.4,0.0,0.0,36.7,0.0,77.2,0.3,153.7,0.041,0.2,0.052,0.088,0.4,4.4,0.6,0.6,0.0,0.0,0.0,0.0,65.6,0.2,1.3,121.6,0.026,382.1,731.5,0.069,1.5,104.862
329,4.1,0.8,1.3,1.2,0.0,0.0,68.4,0.0,202.3,0.2,228.6,0.054,0.1,0.024,0.015,0.4,7.0,2.6,1.0,0.0,0.0,0.0,0.0,54.4,0.1,1.2,99.7,0.067,779.2,1691.2,0.1,1.8,128.139
184,10.6,3.9,2.9,1.3,0.0,0.0,20.7,0.0,56.0,0.081,79.7,0.091,0.6,0.038,0.008,0.1,3.4,0.8,0.2,0.0,0.098,0.2,0.041,24.6,0.011,0.7,30.2,0.012,218.4,426.7,0.025,0.8,56.69
162,2.4,0.6,0.7,0.7,0.0,0.0,33.1,0.0,90.9,0.1,111.3,0.012,0.006,0.081,0.068,0.055,0.3,4.3,0.6,0.4,0.0,0.004,0.7,0.0,25.3,0.046,0.5,49.2,0.013,369.5,695.8,0.1,35.955
247,8.6,2.4,2.1,1.7,0.0,0.0,39.9,0.0,197.2,0.1,133.8,0.006,0.1,0.033,0.032,0.4,5.4,1.6,0.9,0.0,0.0,0.0,0.0,40.9,0.071,0.7,74.4,0.048,597.1,812.8,0.002,1.1,90.142
562,22.2,4.7,7.4,7.7,0.0,0.0,84.4,0.0,209.9,0.4,289.7,0.2,0.7,0.073,0.065,0.5,32.2,4.6,2.4,0.0,0.086,3.8,0.021,39.6,0.2,1.7,118.8,0.064,1053.4,1358.3,0.1,1.7,148.1
182,8.4,2.0,3.8,1.5,0.0,0.0,24.9,0.0,82.7,0.1,72.4,0.075,0.078,0.094,0.048,0.005,0.01,9.8,0.4,0.7,0.0,0.038,2.6,0.022,6.4,0.045,0.5,37.1,0.041,322.2,528.9,0.028,34.203
362,25.3,5.8,10.5,6.0,0.0,0.0,31.2,0.0,138.0,0.001,125.5,0.009,0.3,0.096,0.057,0.4,15.5,1.4,0.7,0.0,0.097,2.2,0.019,86.5,0.1,1.8,55.2,0.017,500.5,706.6,0.092,0.7,144.868
310,17.1,2.3,5.8,7.7,0.0,0.0,36.7,0.0,211.6,0.5,88.8,0.051,0.1,0.067,0.075,0.3,7.8,1.0,0.2,0.0,0.04,3.0,0.063,569.2,0.3,4.4,58.1,0.2,730.1,591.5,0.077,2.0,627.452
8,0.4,0.001,0.2,0.1,0.0,0.0,1.2,0.0,3.4,0.1,2.0,0.012,0.0,0.007,0.061,0.071,0.8,0.008,0.082,0.0,0.07,0.1,0.013,9.3,0.097,0.2,2.8,0.005,10.1,21.8,0.023,0.031,11.106
520,20.3,5.5,7.1,5.6,0.0,0.0,79.1,0.0,143.9,1.8,261.1,0.064,0.079,0.072,0.055,0.6,25.8,2.1,1.4,0.0,0.0,5.9,0.02,918.8,0.4,2.6,110.7,0.022,1306.3,1107.0,0.2,3.7,1020.882
165,9.3,2.4,4.3,1.9,0.5,0.4,18.6,0.009,54.3,0.4,59.5,0.036,0.014,0.093,0.098,0.2,3.7,0.6,0.1,0.9,0.017,1.2,0.012,213.6,0.2,2.0,30.3,0.2,325.7,303.5,0.024,1.2,244.978
563,24.9,4.9,8.4,6.0,0.0,0.0,79.5,0.0,266.2,1.4,229.4,0.2,0.1,0.096,0.014,0.7,25.7,1.8,0.4,0.0,0.09,7.0,0.018,781.8,0.2,2.2,104.5,0.008,1139.1,1058.2,0.1,2.8,888.6
102,2.4,0.6,0.6,0.9,0.0,0.0,18.9,0.0,33.6,0.3,58.6,0.017,0.032,0.087,0.075,0.079,4.6,0.086,0.2,0.0,0.07,0.7,0.099,11.2,0.099,0.8,26.4,0.078,173.6,189.6,0.025,0.4,33.32
530,20.4,3.5,5.0,5.8,0.0,0.0,80.9,0.0,226.1,1.7,304.3,0.025,0.061,0.054,0.031,0.8,26.9,2.3,1.2,0.0,0.018,2.6,0.044,883.7,0.3,2.6,123.3,0.07,1385.1,1413.8,0.1,3.1,987.651
328,2.7,0.5,0.4,0.9,0.0,0.0,71.0,0.0,171.6,0.7,235.9,0.046,0.3,0.06,0.04,0.2,7.8,0.5,0.9,3.1,0.066,2.6,0.063,65.5,0.1,1.5,127.9,0.061,811.2,1647.4,0.1,1.8,143.814
110,4.0,1.0,0.4,1.2,6.3,0.0,11.4,0.0,89.1,0.2,137.9,0.1,0.2,0.009,0.089,0.3,2.0,0.3,0.2,8.1,0.0,1.4,0.056,72.9,7.2,10.9,87.5,0.7,225.2,371.0,0.078,147.3,113.7
520,20.3,5.5,7.1,5.6,0.0,0.0,79.1,0.0,143.9,0.3,261.1,0.014,0.092,0.054,0.012,0.6,25.8,2.1,1.4,0.0,0.0,0.0,0.0,918.8,0.4,2.6,110.7,0.037,1306.3,1107.0,0.2,3.7,1020.805
331,14.4,2.3,5.8,5.3,0.0,0.0,47.2,0.0,55.2,0.7,114.0,0.03,0.044,0.022,0.033,0.1,20.8,0.7,0.8,0.0,0.0,4.1,0.073,7.1,0.2,1.2,60.5,0.081,475.3,592.7,0.1,0.8,69.953
320,16.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
128,1.7,0.2,0.1,0.9,0.0,0.0,26.1,0.0,322.6,1.1,97.1,0.0,0.039,0.078,0.081,0.099,0.7,0.2,0.054,5.2,0.0,1.4,0.0,185.6,0.3,2.7,42.2,0.5,249.6,102.4,0.036,2.5,221.3
144,1.0,0.2,0.1,0.2,0.0,0.0,31.5,0.0,72.2,1.4,136.9,0.048,0.015,0.082,0.004,0.026,1.9,0.6,0.3,12.0,0.0,0.0,0.0,79.1,1.6,1.0,84.3,0.021,376.7,350.9,0.002,10.2,124.608
64,3.2,0.8,2.1,0.1,6.4,0.0,2.6,0.0,18.0,0.2,11.5,0.059,0.049,0.081,0.089,0.1,0.0,0.075,0.013,0.0,0.0,0.0,0.0,3.1,0.099,0.3,5.3,0.008,48.7,49.0,0.032,0.2,15.698
7,0.092,0.023,0.003,0.0,0.013,0.0,1.3,0.0,11.6,0.012,3.9,0.021,0.031,0.098,0.077,0.002,0.1,0.026,0.041,0.0,0.08,0.1,0.001,5.0,0.01,0.009,2.0,0.077,16.8,9.4,0.08,0.008,6.398
19,1.0,0.3,0.4,0.3,1.0,0.0,1.3,0.0,5.7,0.068,5.8,0.008,0.091,0.059,0.083,0.042,0.2,0.01,0.011,0.9,0.0,0.0,0.0,5.9,0.069,1.3,1.3,0.078,17.7,30.6,0.022,0.1,11.464
130,2.1,0.2,0.2,0.7,0.0,0.0,25.9,0.0,71.0,1.4,103.9,0.018,0.005,0.002,0.02,0.07,1.8,0.5,0.2,10.2,0.0,0.0,0.0,79.1,1.6,1.0,84.4,0.093,375.2,351.1,0.003,10.2,118.35
11,0.058,0.092,0.096,0.086,0.5,0.0,2.1,0.0,4.1,0.06,7.0,0.05,0.091,0.011,0.015,0.067,0.049,0.1,0.004,0.032,0.0,0.0,0.0,0.0,1.0,0.057,0.041,3.7,0.004,42.6,31.4,0.042,2.732
140,6.0,1.5,2.2,1.7,6.2,0.0,14.4,0.0,208.0,0.2,51.6,0.035,0.048,0.06,0.05,0.4,2.1,0.4,0.033,3.4,0.0,0.0,0.0,31.2,1.7,0.8,30.4,0.046,200.8,223.2,0.087,1.4,62.028
41,1.2,0.3,0.2,0.4,2.5,0.0,4.7,0.0,25.0,0.059,41.0,0.093,0.052,0.088,0.018,0.1,1.0,0.3,0.026,4.0,0.0,0.0,0.0,4.0,0.8,2.6,11.0,0.3,81.0,84.0,0.1,8.3,19.054
89,0.6,0.1,0.02,0.091,5.1,0.0,14.5,0.0,72.3,0.3,63.4,0.056,0.2,0.038,0.057,0.09,1.3,2.6,0.1,1.7,0.0,3.4,0.043,26.4,0.2,2.7,40.8,0.014,161.5,212.5,0.095,0.7,51.092
25,0.3,0.096,0.027,0.1,0.0,0.0,5.2,0.0,15.6,0.2,22.8,0.093,0.032,0.001,0.082,0.063,0.7,0.024,0.059,2.0,0.0,0.0,0.0,7.4,0.2,0.7,13.9,0.082,37.6,49.0,0.033,0.8,15.607
78,0.2,0.003,0.068,0.037,4.4,0.0,13.5,0.0,36.8,0.1,9.1,0.013,0.076,0.057,0.084,0.055,0.6,0.1,0.2,1.9,0.0,0.0,0.0,32.0,0.6,2.8,48.7,0.3,79.8,196.4,0.047,0.9,54.806
41,1.2,0.3,0.2,0.4,2.5,0.0,4.7,0.0,25.0,0.066,16.0,0.082,0.099,0.005,0.007,0.1,0.9,0.2,0.043,3.2,0.0,0.2,0.047,4.0,0.7,2.3,11.0,0.3,60.8,75.5,0.064,8.3,17.971
8,0.2,0.073,0.004,0.018,0.7,0.0,0.7,0.0,3.7,0.038,8.0,0.09,0.02,0.086,0.099,0.012,0.2,0.083,0.023,0.6,0.0,0.0,0.0,5.5,0.1,0.8,3.2,0.081,11.3,14.9,0.011,4.4,8.598
344,9.0,1.7,2.0,2.4,14.8,0.0,47.6,0.0,112.0,0.7,122.3,0.2,0.6,0.2,0.026,0.8,6.0,1.9,0.2,27.2,0.0,0.0,0.0,66.0,0.3,13.4,74.0,13.6,570.0,536.0,0.2,5.3,178.2
23,0.3,0.002,0.042,0.038,0.6,0.0,4.2,0.0,13.6,0.064,22.7,0.059,0.066,0.009,0.043,0.064,0.6,0.1,0.1,1.4,0.0,0.3,0.074,15.0,0.1,1.5,8.5,0.019,52.6,99.1,0.044,0.5,23.044
233,3.2,0.5,0.6,1.2,5.1,0.0,43.0,0.0,146.7,0.4,108.8,0.06,0.097,0.032,0.068,0.016,8.0,0.7,0.3,3.4,0.0,0.0,0.0,102.7,0.7,2.3,83.1,0.019,373.3,339.0,0.042,11.9,159.731
129,3.4,0.6,0.8,0.9,5.5,0.0,17.9,0.0,42.0,0.4,120.9,0.028,0.2,0.095,0.003,0.3,2.4,0.8,0.041,12.0,0.0,0.8,0.012,39.0,0.1,5.9,51.0,5.1,295.5,480.0,0.063,2.4,83.72
98,1.3,0.2,0.3,0.5,0.0,0.0,20.2,0.0,60.4,0.6,63.8,0.007,0.007,0.029,0.04,0.2,2.5,0.3,0.1,6.1,0.0,0.0,0.0,28.1,0.5,2.4,53.6,0.036,108.8,170.0,0.056,3.1,58.197
140,1.6,0.2,0.3,0.5,1.2,0.0,28.3,0.0,96.5,0.5,93.1,0.06,0.024,0.054,0.039,0.3,4.6,0.5,0.2,4.6,0.0,0.0,0.0,74.9,0.9,0.5,73.7,0.1,222.3,518.2,0.032,6.9,111.171
140,1.6,0.2,0.3,0.5,1.2,0.0,28.4,0.0,96.2,0.5,129.1,0.026,0.033,0.086,0.017,0.3,5.1,0.6,0.2,5.7,0.0,0.0,0.0,75.0,1.1,0.6,73.4,0.1,296.7,577.0,0.022,7.0,112.564
52,3.2,0.7,2.0,0.3,4.8,0.086,1.3,0.1,9.9,0.2,7.2,0.01,0.037,0.029,0.075,0.065,0.2,0.0,0.021,0.0,0.0,0.4,0.04,4.9,0.012,0.1,2.7,0.015,31.5,13.9,0.021,0.069,14.433
4,0.023,0.061,0.075,0.009,0.041,0.0,0.7,0.0,6.3,0.083,4.2,0.083,0.092,0.052,0.045,0.081,0.089,0.056,0.025,0.0,0.053,0.035,0.042,2.7,0.079,0.072,1.1,0.004,12.2,5.7,0.002,0.078,3.712
71,0.6,0.2,0.1,0.2,0.0,0.0,15.2,0.0,82.5,0.3,67.7,0.004,0.029,0.036,0.048,0.096,0.033,2.3,0.8,0.1,2.8,0.0,1.6,0.027,77.4,0.7,0.4,30.6,0.087,198.9,220.2,0.076,16.719
29,0.4,0.019,0.014,0.2,2.6,0.0,3.5,0.0,10.2,0.2,21.2,0.046,0.02,0.02,0.076,0.085,0.084,0.023,0.005,0.0,0.0,0.0,0.0,5.4,0.053,0.2,12.2,0.08,79.8,25.2,0.088,0.036,12.119
165,1.5,0.5,0.4,0.3,2.2,0.0,33.4,0.0,82.6,0.2,88.1,0.099,0.069,0.2,0.088,0.1,1.3,0.0,0.095,0.0,0.0,8.0,0.016,124.5,0.6,1.8,302.3,0.0,275.6,207.0,0.007,2.2,163.446
26,0.4,0.1,0.094,0.1,0.9,0.0,4.4,0.0,65.9,0.09,22.2,0.077,0.014,0.043,0.027,0.1,0.6,0.1,0.033,1.3,0.0,0.3,0.0,9.1,0.5,0.2,9.3,0.048,62.5,69.6,0.088,0.4,16.386
10,0.091,0.089,0.026,0.005,0.5,0.0,1.8,0.0,3.6,0.057,12.4,0.084,0.031,0.035,0.095,0.015,0.1,0.098,0.049,0.0,0.0,0.0,0.0,0.9,0.081,0.068,3.3,0.069,50.1,30.8,0.098,0.1,3.417
116,1.1,0.3,0.3,0.4,0.0,0.0,24.8,0.0,190.5,0.6,121.4,0.092,0.025,0.033,0.005,0.086,2.4,2.2,0.2,0.0,0.0,1.3,0.0,126.0,2.0,0.4,57.0,0.022,241.5,300.0,0.047,5.3,152.362
28,0.1,0.065,0.085,0.098,3.0,0.0,3.6,0.0,6.2,0.2,20.9,0.008,0.079,0.046,0.04,0.017,0.091,0.09,0.045,0.0,0.0,0.0,0.0,2.3,0.067,0.058,12.2,0.034,79.8,29.1,0.095,0.019,9.105
18,0.2,0.067,0.048,0.063,0.018,0.0,3.8,0.0,16.4,0.079,16.6,0.069,0.098,0.082,0.009,0.021,0.6,0.079,0.073,0.6,0.0,0.0,0.0,18.7,0.1,0.2,7.1,0.019,48.1,69.1,0.07,0.7,23.615
39,0.1,0.096,0.067,0.005,2.2,0.0,6.7,0.0,18.4,0.073,18.7,0.043,0.089,0.027,0.021,0.088,0.3,0.037,0.097,1.1,0.0,0.013,0.028,16.1,0.3,1.4,24.3,0.1,39.9,98.2,0.011,0.5,27.678
234,3.2,0.5,0.6,1.2,5.1,0.0,43.1,0.0,146.3,0.4,154.8,0.025,0.071,0.094,0.008,0.043,8.9,0.7,0.3,4.2,0.0,0.0,0.0,102.4,0.8,2.5,83.6,0.033,497.4,376.2,0.055,11.9,160.501
227,2.5,0.5,0.3,0.5,9.4,0.0,38.8,0.0,80.0,0.2,104.4,0.2,0.031,0.099,0.01,0.1,0.9,0.4,0.071,0.0,0.063,1.8,0.037,104.0,0.1,4.3,51.2,0.2,523.2,1004.8,0.089,1.3,159.2
134,1.3,0.3,0.4,0.5,0.0,0.0,28.5,0.0,219.0,0.7,117.2,0.077,0.074,0.077,0.071,0.099,0.031,2.7,2.5,0.2,0.0,0.0,1.5,0.0,144.0,2.3,0.4,64.5,0.049,277.5,345.0,0.1,32.314
29,1.8,0.5,0.7,0.5,1.7,0.0,1.3,0.0,10.4,0.015,9.4,0.0,0.026,0.003,0.016,0.084,0.2,0.081,0.007,0.6,0.0,0.0,0.0,9.1,0.6,1.0,8.5,0.063,23.2,35.6,0.092,12.7,15.5
195,2.2,0.4,0.3,0.4,8.1,0.0,33.3,0.0,68.1,1.4,179.3,0.2,0.098,0.095,0.064,0.001,0.8,0.3,0.0,0.0,0.0,1.5,0.032,88.5,0.1,3.7,43.1,0.2,449.5,104.4,0.041,1.2,136.0
139,1.8,0.4,0.3,0.4,3.7,0.0,25.3,0.0,81.6,0.4,51.4,0.09,0.075,0.016,0.031,0.079,3.2,0.8,0.6,6.8,0.0,1.0,0.088,90.1,0.6,8.1,51.0,0.013,237.2,535.5,0.054,2.9,135.853
8,0.2,0.0,0.087,0.091,0.8,0.0,0.7,0.0,3.5,0.021,12.1,0.069,0.086,0.013,0.095,0.012,0.2,0.076,0.077,0.7,0.0,0.0,0.0,6.2,0.1,0.8,4.6,0.028,13.0,17.4,0.065,5.3,9.448
61,3.0,0.8,1.2,0.8,6.7,0.0,2.1,0.0,18.1,0.1,11.1,0.036,0.039,0.035,0.081,0.02,0.7,0.2,0.019,0.7,0.0,0.0,0.0,4.6,0.1,0.7,3.9,0.015,32.7,30.4,0.074,2.6,17.861
49,1.2,0.3,0.7,0.1,0.0,0.0,8.8,0.0,22.6,0.2,17.7,0.02,0.026,0.006,0.011,0.078,3.1,0.3,0.09,0.0,0.048,0.1,0.022,4.8,0.06,0.3,13.3,0.042,79.5,107.3,0.077,0.2,15.175
159,5.9,1.3,2.8,1.4,0.0,0.0,24.9,0.0,31.3,1.1,97.9,0.019,0.01,0.019,0.007,0.1,6.4,1.2,0.4,0.0,0.09,1.8,0.039,15.0,0.3,1.2,24.5,0.055,223.0,238.0,0.027,0.4,47.038
50,3.4,0.5,1.6,0.6,0.0,0.0,4.6,0.0,9.1,0.1,19.8,0.05,0.079,0.031,0.04,0.0,0.7,0.009,0.08,0.0,0.047,0.098,0.094,7.4,0.015,0.1,4.8,0.047,42.5,82.9,0.05,0.076,15.576
33,0.3,0.049,0.006,0.055,0.0,0.0,7.1,0.0,21.8,0.2,20.2,0.087,0.05,0.079,0.08,0.094,1.4,0.094,0.1,0.0,0.074,0.2,0.078,13.9,0.001,0.4,15.3,0.075,71.0,117.4,0.063,0.1,21.719
147,1.3,0.3,0.4,0.4,0.0,0.0,31.8,0.0,44.9,1.4,96.3,0.086,0.08,0.082,0.017,0.1,3.3,0.1,0.5,0.0,0.078,0.3,0.097,24.5,0.4,0.7,31.3,0.091,179.5,575.3,0.03,0.7,58.398
373,12.3,2.8,4.3,3.7,0.0,0.0,65.5,0.0,167.4,0.065,25.8,0.047,0.5,0.078,0.088,0.6,24.6,3.0,0.9,0.0,0.0,1.3,0.0,62.6,0.2,1.1,62.6,0.048,702.0,1036.8,0.026,1.2,141.587
